Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
23.92,10.53,251.8,0.101,0.00706438888888889,0.00706438888888889,0.101
23.93,10.5,251.2,2.124,0.148208,0.1552723888888889,2.225
23.93,10.5,251.2,2.133,0.14883599999999997,0.30410838888888886,4.3580000000000005
23.93,10.47,250.5,2.121,0.14758625,0.45169463888888883,6.479000000000001
24.01,1.65,39.6,2.125,0.023375,0.4750696388888888,8.604000000000001
24.01,1.65,39.6,2.125,0.023375,0.4984446388888888,10.729000000000001
24.01,1.65,39.6,2.117,0.023287000000000002,0.5217316388888888,12.846
24.01,1.62,38.8,2.118,0.02282733333333333,0.5445589722222222,14.964
24.01,1.62,38.8,2.118,0.02282733333333333,0.5673863055555555,17.082
24.01,1.65,39.6,2.162,0.023782,0.5911683055555554,19.244
24.01,1.65,39.6,2.121,0.023331,0.6144993055555554,21.365
24.01,1.65,39.6,2.123,0.023353000000000002,0.6378523055555554,23.488
24.01,1.62,38.8,2.125,0.022902777777777775,0.6607550833333332,25.613
24.01,10.53,252.8,2.118,0.14873066666666665,0.8094857499999999,27.730999999999998
23.92,10.5,251.1,2.119,0.14780025000000002,0.9572859999999999,29.849999999999998
23.92,10.47,250.4,2.13,0.14815333333333333,1.1054393333333332,31.979999999999997
24.01,1.65,39.6,2.121,0.023331,1.1287703333333332,34.101
24.01,1.65,39.6,2.121,0.023331,1.1521013333333332,36.222
24.01,1.62,38.8,2.129,0.022945888888888887,1.1750472222222221,38.351
24.01,1.38,33.1,2.123,0.019519805555555558,1.1945670277777778,40.474
24.01,1.59,38.1,2.135,0.022595416666666663,1.2171624444444444,42.608999999999995
24.02,1.29,30.9,2.12,0.018196666666666667,1.235359111111111,44.72899999999999
24.02,1.11,26.6,2.117,0.01564227777777778,1.251001388888889,46.84599999999999
24.01,1.62,38.8,2.129,0.022945888888888887,1.2739472777777778,48.97499999999999
24.01,1.65,39.6,2.125,0.023375,1.2973222777777778,51.09999999999999
23.92,10.53,251.8,2.119,0.1482122777777778,1.4455345555555557,53.21899999999999
23.93,10.41,249.1,2.122,0.1468306111111111,1.5923651666666667,55.34099999999999
23.92,10.41,249.0,2.123,0.14684083333333336,1.739206,57.463999999999984
24.0,0.96,23.0,2.136,0.013646666666666666,1.7528526666666666,59.59999999999999
24.02,1.35,32.4,2.125,0.019125,1.7719776666666667,61.72499999999999
24.0,1.05,25.2,2.136,0.014952000000000002,1.7869296666666667,63.86099999999999
24.0,1.62,38.8,2.123,0.022881222222222223,1.809810888888889,65.984
24.01,1.53,36.7,2.117,0.02158163888888889,1.831392527777778,68.101
