Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
23.99,2.1,50.3,0.104,0.001453111111111111,0.001453111111111111,0.104
24.0,1.41,33.8,2.123,0.019932611111111113,0.021385722222222223,2.2270000000000003
24.01,2.13,51.1,2.12,0.030092222222222225,0.05147794444444445,4.347
24.01,1.5,36.0,2.128,0.02128,0.07275794444444444,6.4750000000000005
24.0,2.22,53.2,2.119,0.03131411111111112,0.10407205555555557,8.594000000000001
24.01,2.19,52.5,2.12,0.03091666666666667,0.13498872222222225,10.714000000000002
24.0,1.62,38.8,2.128,0.02293511111111111,0.15792383333333335,12.842000000000002
24.0,2.25,54.0,2.12,0.0318,0.18972383333333334,14.962000000000003
24.0,1.77,42.4,2.119,0.024957111111111114,0.21468094444444447,17.081000000000003
24.01,2.01,48.2,2.135,0.028585277777777775,0.24326622222222224,19.216
24.0,1.74,41.7,2.121,0.02456825,0.26783447222222223,21.337
24.0,2.22,53.2,2.12,0.03132888888888889,0.29916336111111114,23.457
24.0,1.68,40.3,2.126,0.023799388888888887,0.32296275,25.583000000000002
24.0,2.07,49.6,2.122,0.029236444444444443,0.3521991944444445,27.705000000000002
24.0,2.19,52.5,2.118,0.0308875,0.3830866944444445,29.823
24.02,1.95,46.8,2.133,0.027729,0.4108156944444445,31.956
24.0,1.92,46.0,2.116,0.02703777777777778,0.43785347222222226,34.072
24.0,1.83,43.9,2.123,0.025888805555555557,0.4637422777777778,36.195
24.01,1.59,38.1,2.128,0.022521333333333334,0.48626361111111116,38.323
24.0,1.59,38.1,2.126,0.02250016666666667,0.5087637777777778,40.449
24.0,2.19,52.5,2.117,0.030872916666666667,0.5396366944444445,42.565999999999995
24.01,1.74,41.7,2.129,0.024660916666666668,0.5642976111111112,44.69499999999999
24.0,1.56,37.4,2.122,0.02204522222222222,0.5863428333333335,46.81699999999999
24.01,1.59,38.1,2.12,0.022436666666666667,0.6087795000000001,48.93699999999999
24.0,1.98,47.5,2.126,0.02805138888888889,0.6368308888888891,51.06299999999999
24.01,2.22,53.3,2.118,0.03135816666666666,0.6681890555555557,53.18099999999999
