Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.03,0.63,15.1,2.118,0.008883833333333332,0.008883833333333332,2.118
24.03,0.63,15.1,2.117,0.008879638888888888,0.017763472222222222,4.234999999999999
24.03,0.63,15.1,2.134,0.008950944444444444,0.026714416666666664,6.369
24.03,0.63,15.1,2.12,0.008892222222222222,0.03560663888888889,8.489
24.03,0.63,15.1,2.118,0.008883833333333332,0.04449047222222222,10.607000000000001
24.03,0.63,15.1,2.129,0.008929972222222223,0.053420444444444444,12.736
24.03,0.63,15.1,2.124,0.008909,0.062329444444444444,14.860000000000001
24.03,0.63,15.1,2.133,0.00894675,0.07127619444444444,16.993000000000002
24.03,0.63,15.1,2.116,0.008875444444444444,0.08015163888888889,19.109
24.03,0.66,15.8,2.121,0.009308833333333334,0.08946047222222223,21.23
24.03,0.63,15.1,2.129,0.008929972222222223,0.09839044444444445,23.359
24.03,0.63,15.1,2.124,0.008909,0.10729944444444445,25.483
24.03,0.63,15.1,2.135,0.008955138888888887,0.11625458333333333,27.618000000000002
24.03,0.66,15.8,2.119,0.009300055555555556,0.12555463888888888,29.737000000000002
24.03,0.63,15.1,2.118,0.008883833333333332,0.13443847222222222,31.855
24.03,0.63,15.1,2.128,0.008925777777777779,0.14336425,33.983000000000004
24.03,0.63,15.1,2.12,0.008892222222222222,0.15225647222222222,36.103
24.03,0.66,15.8,2.119,0.009300055555555556,0.16155652777777776,38.222
24.03,0.63,15.1,2.13,0.008934166666666665,0.17049069444444442,40.352000000000004
24.03,0.63,15.1,2.121,0.008896416666666665,0.17938711111111108,42.473000000000006
24.03,0.63,15.1,2.117,0.008879638888888888,0.18826674999999998,44.59
24.03,0.63,15.1,2.13,0.008934166666666665,0.19720091666666664,46.720000000000006
24.03,0.63,15.1,2.121,0.008896416666666665,0.2060973333333333,48.84100000000001
24.03,0.6,14.4,2.137,0.008548,0.2146453333333333,50.97800000000001
24.03,0.63,15.1,2.119,0.00888802777777778,0.22353336111111108,53.09700000000001
24.03,0.63,15.1,2.135,0.008955138888888887,0.23248849999999996,55.232000000000006
24.03,0.63,15.1,2.116,0.008875444444444444,0.2413639444444444,57.348000000000006
24.03,0.63,15.1,2.122,0.00890061111111111,0.2502645555555555,59.470000000000006
24.03,0.63,15.1,2.129,0.008929972222222223,0.25919452777777774,61.599000000000004
24.03,0.63,15.1,2.116,0.008875444444444444,0.2680699722222222,63.715
24.03,0.63,15.1,2.122,0.00890061111111111,0.2769705833333333,65.837
24.03,0.63,15.1,2.129,0.008929972222222223,0.28590055555555555,67.96600000000001
24.03,0.63,15.1,2.118,0.008883833333333332,0.29478438888888886,70.084
24.03,0.63,15.1,2.12,0.008892222222222222,0.3036766111111111,72.20400000000001
24.03,0.63,15.1,2.13,0.008934166666666665,0.3126107777777778,74.334
24.03,0.63,15.1,2.123,0.008904805555555556,0.32151558333333335,76.45700000000001
24.03,0.63,15.1,2.133,0.00894675,0.33046233333333336,78.59
24.03,0.6,14.4,2.121,0.008484,0.33894633333333335,80.711
24.03,0.63,15.1,2.12,0.008892222222222222,0.3478385555555556,82.831
24.03,0.63,15.1,2.127,0.008921583333333333,0.3567601388888889,84.958
24.03,0.63,15.1,2.123,0.008904805555555556,0.3656649444444445,87.081
24.03,0.63,15.1,2.116,0.008875444444444444,0.3745403888888889,89.197
24.03,0.63,15.1,2.13,0.008934166666666665,0.3834745555555556,91.327
24.03,0.63,15.1,2.122,0.00890061111111111,0.3923751666666667,93.449
24.03,0.63,15.1,2.134,0.008950944444444444,0.40132611111111116,95.583
24.03,0.63,15.1,2.117,0.008879638888888888,0.41020575000000004,97.7
24.03,0.63,15.1,2.117,0.008879638888888888,0.4190853888888889,99.81700000000001
24.03,0.63,15.1,2.134,0.008950944444444444,0.42803633333333335,101.95100000000001
24.03,0.63,15.1,2.121,0.008896416666666665,0.43693275000000004,104.072
