Timestamp,Voltage (V),Current (A),Power (W),Delta Time (s),Cumulative Energy (Wh)
2025-11-30 21:50:55,23.99,2.1,50.3,0.104,0.001455114463965098
2025-11-30 21:50:57,24.0,1.41,33.8,2.123,0.021390357156594594
2025-11-30 21:50:59,24.01,2.13,51.1,2.12,0.051475538578298355
2025-11-30 21:51:01,24.01,1.5,36.0,2.128,0.07275445875194338
2025-11-30 21:51:03,24.0,2.22,53.2,2.119,0.10406321030855178
2025-11-30 21:51:05,24.01,2.19,52.5,2.12,0.13498380772272744
2025-11-30 21:51:07,24.0,1.62,38.8,2.128,0.15791909636391532
2025-11-30 21:51:09,24.0,2.25,54.0,2.12,0.18971590103043448
2025-11-30 21:51:12,24.0,1.77,42.4,2.119,0.21466805826293095
2025-11-30 21:51:14,24.01,2.01,48.2,2.135,0.2432495659722222
2025-11-30 21:51:16,24.0,1.74,41.7,2.121,0.2678168251249525
2025-11-30 21:51:18,24.0,2.22,53.2,2.12,0.29914844287766346
2025-11-30 21:51:20,24.0,1.68,40.3,2.126,0.3229487650924258
2025-11-30 21:51:22,24.0,2.07,49.6,2.122,0.3521841679414113
2025-11-30 21:51:24,24.0,2.19,52.5,2.118,0.3830710877378781
2025-11-30 21:51:26,24.02,1.95,46.8,2.133,0.41080302776892974
2025-11-30 21:51:28,24.0,1.92,46.0,2.116,0.43784382683038703
2025-11-30 21:51:31,24.0,1.83,43.9,2.123,0.4637318084571096
2025-11-30 21:51:33,24.01,1.59,38.1,2.128,0.48625710353586404
2025-11-30 21:51:35,24.0,1.59,38.1,2.126,0.5087540497514936
2025-11-30 21:51:37,24.0,2.19,52.5,2.117,0.5396291722986433
2025-11-30 21:51:39,24.01,1.74,41.7,2.129,0.5642889533175361
2025-11-30 21:51:41,24.0,1.56,37.4,2.122,0.586336025569174
2025-11-30 21:51:43,24.01,1.59,38.1,2.12,0.6087722116046481
2025-11-30 21:51:45,24.0,1.98,47.5,2.126,0.636825471288628
2025-11-30 21:51:48,24.01,2.22,53.3,2.118,0.6681817181309063
2025-11-30 21:51:50,24.02,1.53,36.7,2.119,0.6897840857572025
2025-11-30 21:51:52,24.0,1.92,46.0,2.133,0.7170404248833656
2025-11-30 21:51:54,24.02,1.83,43.9,2.123,0.7429323809014426
2025-11-30 21:51:56,24.0,1.53,36.7,2.119,0.764538190179401
2025-11-30 21:51:58,24.0,2.19,52.5,2.13,0.7955944020681911
2025-11-30 21:52:00,24.01,1.5,36.0,2.118,0.8167750103407436
2025-11-30 21:52:02,24.01,2.19,52.5,2.123,0.8477369137737486
2025-11-30 21:52:05,24.02,1.89,45.3,2.14,0.8746650054189894
2025-11-30 21:52:07,24.0,2.22,53.2,2.123,0.906036373005973
2025-11-30 21:52:09,24.01,2.19,52.5,2.127,0.9370615740882026
2025-11-30 21:52:11,24.0,2.1,50.4,2.119,0.9667263318167792
2025-11-30 21:52:13,24.02,1.65,39.6,2.121,0.9900594409571754
2025-11-30 21:52:15,24.0,2.19,52.5,2.127,1.0210781262583202
2025-11-30 21:52:17,24.02,2.19,52.6,2.125,1.052119780699412
2025-11-30 21:52:19,24.0,2.19,52.5,2.121,1.0830461776455242
2025-11-30 21:52:22,24.01,2.16,51.8,2.127,1.1136578568948639
2025-11-30 21:52:24,24.0,1.56,37.4,2.115,1.1356354272166886
2025-11-30 21:52:26,24.0,1.59,38.1,2.12,1.158069778839747
2025-11-30 21:52:28,24.01,2.19,52.5,2.117,1.1889461217919983
2025-11-30 21:52:30,24.01,2.1,50.4,2.127,1.2187204114
2025-11-30 21:52:32,24.0,2.16,51.8,2.123,1.2492702956398327
