Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.01,1.68,40.3,2.132,0.023866555555555558,0.023866555555555558,2.132
24.01,1.65,39.6,2.121,0.023331,0.04719755555555556,4.253
24.01,1.65,39.6,2.12,0.023320000000000004,0.07051755555555557,6.373
24.01,1.65,39.6,2.128,0.023408000000000005,0.09392555555555557,8.501000000000001
24.01,1.65,39.6,2.115,0.023265,0.11719055555555558,10.616000000000001
23.87,6.33,151.0,2.125,0.08913194444444444,0.20632250000000002,12.741000000000001
23.87,10.98,262.0,2.133,0.155235,0.36155750000000003,14.874000000000002
23.88,10.95,261.4,2.117,0.15371772222222221,0.5152752222222222,16.991000000000003
23.87,10.92,260.6,2.121,0.15353683333333334,0.6688120555555556,19.112000000000002
23.88,10.89,260.0,2.132,0.1539777777777778,0.8227898333333333,21.244000000000003
23.88,10.86,259.3,2.121,0.15277091666666667,0.97556075,23.365000000000002
23.88,10.83,258.6,2.134,0.15329233333333334,1.1288530833333332,25.499000000000002
23.88,10.8,257.9,2.117,0.15165952777777778,1.280512611111111,27.616000000000003
23.88,10.77,257.1,2.119,0.1513319166666667,1.4318445277777776,29.735000000000003
23.88,10.74,256.4,2.119,0.15091988888888888,1.5827644166666666,31.854000000000003
23.88,10.71,255.7,2.126,0.15100505555555555,1.733769472222222,33.980000000000004
23.88,10.71,255.7,2.118,0.15043683333333333,1.8842063055555553,36.098000000000006
23.88,10.68,255.0,2.117,0.14995416666666667,2.034160472222222,38.215
23.88,10.65,254.3,2.119,0.14968380555555558,2.183844277777778,40.334
23.88,10.62,253.6,2.13,0.15004666666666666,2.3338909444444447,42.464000000000006
23.88,10.59,252.8,2.125,0.14922222222222223,2.483113166666667,44.589000000000006
23.88,10.59,252.8,2.115,0.14852,2.631633166666667,46.70400000000001
23.88,10.56,252.1,2.129,0.1490891388888889,2.780722305555556,48.833000000000006
23.89,10.53,251.5,2.119,0.14803569444444448,2.928758,50.952000000000005
23.88,10.5,250.7,2.122,0.1477737222222222,3.0765317222222226,53.074000000000005
23.89,10.5,250.8,2.14,0.1490866666666667,3.2256183888888894,55.214000000000006
23.89,10.47,250.1,2.121,0.1473505833333333,3.372968972222223,57.33500000000001
23.88,10.44,249.3,2.126,0.1472255,3.520194472222223,59.461000000000006
23.89,10.41,248.6,2.118,0.14625966666666665,3.6664541388888896,61.57900000000001
23.88,10.41,248.5,2.117,0.14613180555555555,3.812585944444445,63.696000000000005
23.89,10.38,247.9,2.121,0.14605441666666666,3.958640361111112,65.81700000000001
23.88,10.38,247.8,2.125,0.14627083333333335,4.104911194444446,67.94200000000001
23.89,10.35,247.2,2.126,0.14598533333333333,4.250896527777779,70.06800000000001
23.89,10.32,246.5,2.117,0.14495569444444445,4.395852222222223,72.18500000000002
24.01,1.65,39.6,2.128,0.023408000000000005,4.419260222222223,74.31300000000002
24.01,1.65,39.6,2.119,0.023309,4.4425692222222235,76.43200000000002
24.01,1.65,39.6,2.12,0.023320000000000004,4.4658892222222235,78.55200000000002
24.01,1.65,39.6,2.133,0.023463,4.489352222222223,80.68500000000002
24.01,1.65,39.6,2.115,0.023265,4.512617222222223,82.80000000000001
24.01,1.65,39.6,2.115,0.023265,4.535882222222224,84.915
24.01,1.65,39.6,2.119,0.023309,4.559191222222224,87.034
23.88,6.39,152.5,2.131,0.09027152777777776,4.649462750000001,89.165
23.89,10.32,246.5,2.117,0.14495569444444445,4.794418444444446,91.28200000000001
23.88,10.32,246.4,2.124,0.145376,4.939794444444446,93.406
24.01,1.65,39.6,2.13,0.02343,4.963224444444446,95.536
24.01,1.65,39.6,2.12,0.023320000000000004,4.986544444444446,97.656
24.01,1.68,40.3,2.116,0.023687444444444445,5.010231888888891,99.772
