Timestamp,Voltage (V),Current (A),Power (W),Delta Time (s),Cumulative Energy (Wh)
2025-11-30 12:32:27,24.04,0.06,1.4,0.097,3.7784947289360895e-05
2025-11-30 12:32:29,24.03,0.06,1.4,2.123,0.0008632069693671332
2025-11-30 12:32:31,24.03,0.06,1.4,2.123,0.0016886924107869464
2025-11-30 12:32:33,24.03,0.06,1.4,2.124,0.0025148645242055257
2025-11-30 12:32:36,24.03,0.06,1.4,2.122,0.0033399614757961696
2025-11-30 12:32:38,24.03,0.06,1.4,2.118,0.004163536177741157
2025-11-30 12:32:40,24.01,1.65,39.6,2.131,0.027609808074103463
2025-11-30 12:32:42,24.01,1.65,39.6,2.122,0.05095006381140815
2025-11-30 12:32:44,24.01,1.65,39.6,2.121,0.07428110371695626
2025-11-30 12:32:46,24.01,1.65,39.6,2.164,0.09808565746413339
2025-11-30 12:32:48,24.01,1.65,39.6,2.118,0.1213844340907203
2025-11-30 12:32:50,23.87,10.83,258.5,2.121,0.2736652749644386
2025-11-30 12:32:53,23.87,10.83,258.5,2.133,0.42682689420382186
2025-11-30 12:32:55,23.87,10.8,257.7,2.125,0.578969518284003
2025-11-30 12:32:57,23.87,10.77,257.0,2.133,0.7312756603360177
2025-11-30 12:32:59,23.87,10.74,256.3,2.121,0.8822594246864319
2025-11-30 12:33:01,23.88,10.71,255.7,2.122,1.0329519348806806
2025-11-30 12:33:03,23.88,10.68,255.0,2.127,1.1835849719709821
2025-11-30 12:33:05,23.88,10.68,255.0,2.116,1.3334718473222522
2025-11-30 12:33:07,23.88,10.65,254.3,2.12,1.4832495588064196
2025-11-30 12:33:10,23.88,10.62,253.6,2.133,1.6334915288686755
2025-11-30 12:33:12,23.88,10.59,252.8,2.121,1.782440349618594
2025-11-30 12:33:14,23.88,10.59,252.8,2.12,1.9312818188534846
2025-11-30 12:33:16,23.88,10.56,252.1,2.13,2.080408069173495
2025-11-30 12:33:18,23.88,10.53,251.4,2.12,2.2284882767200473
2025-11-30 12:33:20,23.88,10.5,250.7,2.122,2.376236262513532
2025-11-30 12:33:22,23.88,10.5,250.7,2.126,2.524297334942553
2025-11-30 12:33:24,23.88,10.47,250.0,2.118,2.6713854553235903
2025-11-30 12:33:27,23.88,10.44,249.3,2.12,2.8182023157609835
2025-11-30 12:33:29,23.88,10.44,249.3,2.131,2.965779137386216
2025-11-30 12:33:31,23.88,10.41,248.5,2.119,3.1120430215266017
2025-11-30 12:33:33,23.88,10.38,247.8,2.119,3.2579008027381366
2025-11-30 12:33:35,23.88,10.38,247.8,2.131,3.404586608297295
2025-11-30 12:33:37,23.88,10.35,247.1,2.121,3.5501753082871437
2025-11-30 12:33:39,23.88,10.32,246.4,2.117,3.6950838719010353
2025-11-30 12:33:41,23.88,10.32,246.4,2.131,3.840937729365296
2025-11-30 12:33:44,23.88,10.29,245.7,2.122,3.985771208650536
2025-11-30 12:33:46,24.0,1.65,39.6,2.119,4.009080515033669
2025-11-30 12:33:48,24.0,1.65,39.6,2.132,4.032537660247749
2025-11-30 12:33:50,24.01,1.65,39.6,2.119,4.055843289739555
2025-11-30 12:33:52,24.01,1.65,39.6,2.12,4.079162394172615
2025-11-30 12:33:54,24.01,1.65,39.6,2.128,4.102571078903145
2025-11-30 12:33:56,24.01,1.65,39.6,2.124,4.125936199552482
2025-11-30 12:33:58,24.01,1.65,39.6,2.116,4.149213418371147
2025-11-30 12:34:01,24.01,1.65,39.6,2.127,4.172610749847359
2025-11-30 12:34:03,24.01,1.65,39.6,2.126,4.195997483379311
2025-11-30 12:34:05,23.94,1.68,40.2,2.12,4.219672127968735
2025-11-30 12:34:07,23.88,10.32,246.4,2.127,4.365264188905557
2025-11-30 12:34:09,23.88,10.29,245.7,2.119,4.509875603278478
