Timestamp,Voltage (V),Current (A),Power (W),Delta Time (s),Cumulative Energy (Wh)
2025-12-01 11:44:19,24.05,0.06,1.4,0.094,3.6700606346130367e-05
2025-12-01 11:44:21,24.04,0.06,1.4,2.13,0.0008651537762747871
2025-12-01 11:44:23,24.04,0.06,1.4,2.119,0.0016890636550055608
2025-12-01 11:44:25,24.04,0.06,1.4,2.122,0.002514248410860697
2025-12-01 11:44:27,24.04,0.06,1.4,2.13,0.003342472010188632
2025-12-01 11:44:29,24.04,0.06,1.4,2.121,0.004167495250701904
2025-12-01 11:44:31,24.04,0.06,1.4,2.135,0.004997796575228372
2025-12-01 11:44:34,24.04,0.06,1.4,2.123,0.005823336998621622
2025-12-01 11:44:36,24.04,0.06,1.4,2.134,0.006653384274906582
2025-12-01 11:44:38,24.04,0.06,1.4,2.158,0.00749263310432434
2025-12-01 11:44:40,24.03,0.06,1.4,2.117,0.0083158993323644
2025-12-01 11:44:42,24.04,0.06,1.4,2.126,0.009142764329910277
2025-12-01 11:44:44,24.03,0.06,1.4,2.122,0.009967996372116936
2025-12-01 11:44:46,24.04,0.06,1.4,2.122,0.010793273753590054
2025-12-01 11:44:48,24.04,0.06,1.4,2.126,0.011620188262727526
2025-12-01 11:44:51,24.04,0.06,1.4,2.121,0.012444874286651612
2025-12-01 11:44:53,24.04,0.06,1.4,2.117,0.013268176118532817
2025-12-01 11:44:55,24.03,0.21,5.0,2.128,0.01622433967060513
2025-12-01 11:44:57,24.03,0.63,15.1,2.118,0.02510679108566708
2025-12-01 11:44:59,24.03,0.63,15.1,2.117,0.03398681341939502
2025-12-01 11:45:01,24.03,0.63,15.1,2.134,0.042937518119812015
2025-12-01 11:45:03,24.03,0.63,15.1,2.12,0.05183024487892787
2025-12-01 11:45:05,24.03,0.63,15.1,2.118,0.06071442735195161
2025-12-01 11:45:08,24.03,0.63,15.1,2.129,0.06964456336365807
2025-12-01 11:45:10,24.03,0.63,15.1,2.124,0.07855272963974212
2025-12-01 11:45:12,24.03,0.63,15.1,2.133,0.08749931820233664
2025-12-01 11:45:14,24.03,0.63,15.1,2.116,0.09637647644016478
2025-12-01 11:45:16,24.03,0.66,15.8,2.121,0.10568687017096413
2025-12-01 11:45:18,24.03,0.63,15.1,2.129,0.11461584214369455
2025-12-01 11:45:20,24.03,0.63,15.1,2.124,0.1235252724621031
2025-12-01 11:45:22,24.03,0.63,15.1,2.135,0.13248122133811313
2025-12-01 11:45:25,24.03,0.66,15.8,2.119,0.14178175072537527
2025-12-01 11:45:27,24.03,0.63,15.1,2.118,0.15066541118092006
2025-12-01 11:45:29,24.03,0.63,15.1,2.128,0.15959112604459125
2025-12-01 11:45:31,24.03,0.63,15.1,2.12,0.16848343478971056
2025-12-01 11:45:33,24.03,0.66,15.8,2.119,0.17778399556875227
2025-12-01 11:45:35,24.03,0.63,15.1,2.13,0.18671801671054625
2025-12-01 11:45:37,24.03,0.63,15.1,2.121,0.19561311054892006
2025-12-01 11:45:39,24.03,0.63,15.1,2.117,0.20449321888552768
2025-12-01 11:45:42,24.03,0.63,15.1,2.13,0.213427057021194
2025-12-01 11:45:44,24.03,0.63,15.1,2.121,0.22232446693711808
2025-12-01 11:45:46,24.03,0.6,14.4,2.137,0.23087208484941055
2025-12-01 11:45:48,24.03,0.63,15.1,2.119,0.23975947542985276
2025-12-01 11:45:50,24.03,0.63,15.1,2.135,0.2487140902611944
2025-12-01 11:45:52,24.03,0.63,15.1,2.116,0.25759128650029495
2025-12-01 11:45:54,24.03,0.63,15.1,2.122,0.2664907134837574
2025-12-01 11:45:56,24.03,0.63,15.1,2.129,0.2754204334815343
2025-12-01 11:45:59,24.03,0.63,15.1,2.116,0.2842960056662559
2025-12-01 11:46:01,24.03,0.63,15.1,2.122,0.29319489963187106
2025-12-01 11:46:03,24.03,0.63,15.1,2.129,0.30212306857771337
2025-12-01 11:46:05,24.03,0.63,15.1,2.118,0.3110072130494647
2025-12-01 11:46:07,24.03,0.63,15.1,2.12,0.31990001781119237
2025-12-01 11:46:09,24.03,0.63,15.1,2.13,0.32883429696162536
2025-12-01 11:46:11,24.03,0.63,15.1,2.123,0.33773804008960717
2025-12-01 11:46:13,24.03,0.63,15.1,2.133,0.34668582469224923
2025-12-01 11:46:16,24.03,0.6,14.4,2.121,0.3551702540516853
2025-12-01 11:46:18,24.03,0.63,15.1,2.12,0.36406143875916797
2025-12-01 11:46:20,24.03,0.63,15.1,2.127,0.3729850535525216
2025-12-01 11:46:22,24.03,0.63,15.1,2.123,0.38188970071077344
2025-12-01 11:46:24,24.03,0.63,15.1,2.116,0.39076566790872147
2025-12-01 11:46:26,24.03,0.63,15.1,2.13,0.39969925703605014
2025-12-01 11:46:28,24.03,0.63,15.1,2.122,0.4086004580789142
2025-12-01 11:46:30,24.03,0.63,15.1,2.134,0.4175515597926246
2025-12-01 11:46:32,24.03,0.63,15.1,2.117,0.42643156812588373
2025-12-01 11:46:35,24.03,0.63,15.1,2.117,0.43531210947699017
2025-12-01 11:46:37,24.03,0.63,15.1,2.134,0.4442628441784117
2025-12-01 11:46:39,24.03,0.63,15.1,2.121,0.45316109812259675
2025-12-01 11:46:41,24.03,0.63,15.1,2.118,0.46204563860760794
2025-12-01 11:46:43,24.03,0.63,15.1,2.128,0.4709698744217555
2025-12-01 11:46:45,24.03,0.63,15.1,2.118,0.479854813920127
2025-12-01 11:46:47,24.03,0.63,15.1,2.121,0.48875066478384865
2025-12-01 11:46:49,24.03,0.63,15.1,2.13,0.49768546295166016
2025-12-01 11:46:52,24.03,0.63,15.1,2.122,0.5065877150297164
2025-12-01 11:46:54,24.03,0.63,15.1,2.134,0.5155384007294972
2025-12-01 11:46:56,24.03,0.63,15.1,2.121,0.5244336965746349
2025-12-01 11:46:58,24.03,0.63,15.1,2.117,0.5333141689234309
2025-12-01 11:47:00,24.03,0.63,15.1,2.129,0.5422458709875742
2025-12-01 11:47:02,24.03,0.63,15.1,2.116,0.5511198441187539
2025-12-01 11:47:04,24.03,0.63,15.1,2.117,0.5599994344380166
2025-12-01 11:47:06,24.03,0.63,15.1,2.117,0.5688793017665544
2025-12-01 11:47:09,24.03,0.63,15.1,2.125,0.577792719218466
2025-12-01 11:47:11,24.03,0.63,15.1,2.121,0.586689452111721
2025-12-01 11:47:13,24.03,0.63,15.1,2.122,0.5955904241469171
2025-12-01 11:47:15,24.03,0.63,15.1,2.125,0.6045018305314911
2025-12-01 11:47:17,24.03,0.63,15.1,2.127,0.6134214391907056
2025-12-01 11:47:19,24.03,0.63,15.1,2.135,0.6223762420283423
2025-12-01 11:47:21,24.03,0.63,15.1,2.122,0.631275293999248
2025-12-01 11:47:23,24.03,0.63,15.1,2.135,0.6402307008571094
2025-12-01 11:47:26,24.03,0.63,15.1,2.121,0.649128371781773
2025-12-01 11:47:28,24.03,0.63,15.1,2.134,0.6580812705556551
2025-12-01 11:47:30,24.03,0.63,15.1,2.121,0.6669773434268104
2025-12-01 11:47:32,24.03,0.63,15.1,2.136,0.6759352773692873
2025-12-01 11:47:34,24.03,0.63,15.1,2.121,0.6848296901848581
2025-12-01 11:47:36,24.03,0.63,15.1,2.123,0.6937345163491037
2025-12-01 11:47:38,24.03,0.63,15.1,2.123,0.7026397205260064
2025-12-01 11:47:40,24.03,0.63,15.1,2.123,0.711545004705588
2025-12-01 11:47:43,24.02,0.63,15.1,2.121,0.7204415225916438
2025-12-01 11:47:45,24.03,0.63,15.1,2.125,0.729355092048645
2025-12-01 11:47:47,24.03,0.63,15.1,2.121,0.7382517619397905
2025-12-01 11:47:49,24.03,0.63,15.1,2.123,0.7471570141183005
2025-12-01 11:47:51,24.03,0.63,15.1,2.123,0.7560617922809388
2025-12-01 11:47:53,24.03,0.63,15.1,2.118,0.7649457987480693
2025-12-01 11:47:55,24.03,0.63,15.1,2.121,0.7738438656859927
2025-12-01 11:47:57,24.03,0.63,15.1,2.13,0.7827771938045819
2025-12-01 11:48:00,24.03,0.63,15.1,2.116,0.7916524029771486
2025-12-01 11:48:02,24.03,0.63,15.1,2.122,0.8005535040166641
2025-12-01 11:48:04,24.03,0.63,15.1,2.13,0.8094878951708474
2025-12-01 11:48:06,24.03,0.63,15.1,2.121,0.8183841480480298
2025-12-01 11:48:08,24.03,0.63,15.1,2.118,0.8272690375447271
