Timestamp,Voltage (V),Current (A),Power (W),Delta Time (s),Cumulative Energy (Wh)
2025-12-01 15:13:39,23.92,10.53,251.8,0.101,0.007079569035106235
2025-12-01 15:13:41,23.93,10.5,251.2,2.124,0.15528369783030613
2025-12-01 15:13:43,23.93,10.5,251.2,2.133,0.304092689898279
2025-12-01 15:13:45,23.93,10.47,250.5,2.121,0.45164627785152855
2025-12-01 15:13:47,24.01,1.65,39.6,2.125,0.47501798648304405
2025-12-01 15:13:49,24.01,1.65,39.6,2.125,0.4983919557995266
2025-12-01 15:13:51,24.01,1.65,39.6,2.117,0.5216756891674466
2025-12-01 15:13:54,24.01,1.62,38.8,2.118,0.5445077432261572
2025-12-01 15:13:56,24.01,1.62,38.8,2.118,0.5673306725554995
2025-12-01 15:13:58,24.01,1.65,39.6,2.162,0.5911181269221835
2025-12-01 15:14:00,24.01,1.65,39.6,2.121,0.6144442940288118
2025-12-01 15:14:02,24.01,1.65,39.6,2.123,0.6378007915549807
2025-12-01 15:14:04,24.01,1.62,38.8,2.125,0.6607085261344908
2025-12-01 15:14:06,24.01,10.53,252.8,2.118,0.8094346912701923
2025-12-01 15:14:08,23.92,10.5,251.1,2.119,0.9572049882610637
2025-12-01 15:14:11,23.92,10.47,250.4,2.13,1.10536252513859
2025-12-01 15:14:13,24.01,1.65,39.6,2.121,1.1286883460614414
2025-12-01 15:14:15,24.01,1.65,39.6,2.121,1.1520142692658635
2025-12-01 15:14:17,24.01,1.62,38.8,2.129,1.1749635906153253
2025-12-01 15:14:19,24.01,1.38,33.1,2.123,1.1944828209744558
2025-12-01 15:14:21,24.01,1.59,38.1,2.135,1.2170828803446556
2025-12-01 15:14:23,24.02,1.29,30.9,2.12,1.2352764804826841
2025-12-01 15:14:25,24.02,1.11,26.6,2.117,1.2509206721716455
2025-12-01 15:14:28,24.01,1.62,38.8,2.129,1.273864620440536
2025-12-01 15:14:30,24.01,1.65,39.6,2.125,1.2972397830420068
2025-12-01 15:14:32,23.92,10.53,251.8,2.119,1.4454670663343534
2025-12-01 15:14:34,23.93,10.41,249.1,2.122,1.5922878106435139
2025-12-01 15:14:36,23.92,10.41,249.0,2.123,1.7391369487841923
2025-12-01 15:14:38,24.0,0.96,23.0,2.136,1.7527807634406618
2025-12-01 15:14:40,24.02,1.35,32.4,2.125,1.7719015083842806
2025-12-01 15:14:42,24.0,1.05,25.2,2.136,1.7868513365321688
2025-12-01 15:14:45,24.0,1.62,38.8,2.123,1.8097272771729362
2025-12-01 15:14:47,24.01,1.53,36.7,2.117,1.8313039588001039
2025-12-01 15:14:49,24.02,1.32,31.7,2.127,1.8500299101670583
2025-12-01 15:14:51,24.01,1.41,33.8,2.119,1.8699253503481548
2025-12-01 15:14:53,24.0,2.07,49.6,2.12,1.899139660994212
2025-12-01 15:14:55,24.01,2.19,52.5,2.128,1.9301765063405039
2025-12-01 15:14:57,24.01,1.26,30.2,2.121,1.9479688140882387
2025-12-01 15:14:59,24.0,2.19,52.5,2.122,1.9789094942940608
2025-12-01 15:15:02,24.02,0.96,23.0,2.129,1.9925122381051383
2025-12-01 15:15:04,23.92,9.93,237.5,2.121,2.1324359588291912
2025-12-01 15:15:06,23.92,10.95,261.9,2.118,2.286532550480631
2025-12-01 15:15:08,24.01,1.29,30.9,2.128,2.304797435826726
2025-12-01 15:15:10,24.0,2.1,50.4,2.119,2.334468608922429
2025-12-01 15:15:12,24.01,2.07,49.7,2.119,2.3637195885909934
2025-12-01 15:15:14,24.0,2.01,48.2,2.131,2.392252112607162
2025-12-01 15:15:16,24.0,2.16,51.8,2.121,2.422771152516207
2025-12-01 15:15:18,24.0,2.13,51.1,2.12,2.4528649704655017
2025-12-01 15:15:21,24.01,2.19,52.5,2.125,2.483851803541184
2025-12-01 15:15:23,24.0,2.19,52.5,2.121,2.5147865729530654
2025-12-01 15:15:25,24.01,1.35,32.4,2.119,2.53385955097278
2025-12-01 15:15:27,24.0,1.35,32.4,2.128,2.5530112400253615
2025-12-01 15:15:29,24.0,2.1,50.4,2.12,2.5826846761902176
2025-12-01 15:15:31,24.01,1.26,30.2,2.138,2.600618848688073
2025-12-01 15:15:33,23.92,9.93,237.5,2.125,2.740794202009837
2025-12-01 15:15:35,23.93,10.32,246.9,2.135,2.8872393216292065
2025-12-01 15:15:38,24.01,9.63,231.2,2.123,3.023582725922267
2025-12-01 15:15:40,24.0,2.19,52.5,2.137,3.0547477555274964
2025-12-01 15:15:42,24.0,2.16,51.8,2.122,3.0852810151841905
2025-12-01 15:15:44,24.0,2.19,52.5,2.134,3.1164019676513144
2025-12-01 15:15:46,24.0,1.35,32.4,2.121,3.1354868718451927
2025-12-01 15:15:48,24.01,2.04,48.9,2.135,3.1644810801413326
2025-12-01 15:15:50,24.0,2.19,52.5,2.122,3.195431530541844
2025-12-01 15:15:53,24.0,1.83,43.9,2.122,3.2213062283396723
2025-12-01 15:15:55,24.02,1.83,43.9,2.126,3.2472367885775038
2025-12-01 15:15:57,24.01,1.83,43.9,2.121,3.2731038167013065
2025-12-01 15:15:59,24.0,2.19,52.5,2.121,3.3040278041296536
2025-12-01 15:16:01,24.01,2.19,52.5,2.126,3.335037588470512
2025-12-01 15:16:03,24.01,1.83,43.9,2.117,3.360851469649209
2025-12-01 15:16:05,24.01,1.59,38.1,2.118,3.3832716985676026
2025-12-01 15:16:07,24.0,1.89,45.3,2.134,3.4101305598947738
2025-12-01 15:16:09,23.92,10.41,249.0,2.121,3.556841242803468
2025-12-01 15:16:12,23.92,10.2,243.9,2.12,3.7004846580757036
2025-12-01 15:16:14,24.0,2.16,51.8,2.125,3.7310630401306684
2025-12-01 15:16:16,24.0,1.77,42.4,2.121,3.7560419046415223
2025-12-01 15:16:18,24.0,1.5,36.0,2.136,3.777398117734326
2025-12-01 15:16:20,24.0,1.65,39.6,2.122,3.8007362544073
2025-12-01 15:16:22,24.01,1.59,38.1,2.12,3.8231743127041393
2025-12-01 15:16:24,24.0,2.04,48.9,2.129,3.8520947799219027
2025-12-01 15:16:26,24.0,2.19,52.5,2.119,3.8829971095058653
2025-12-01 15:16:29,24.01,1.35,32.4,2.118,3.9020628369781707
2025-12-01 15:16:31,24.0,2.16,51.8,2.13,3.932713213152356
2025-12-01 15:16:33,24.01,2.16,51.8,2.122,3.963240880966187
2025-12-01 15:16:35,24.0,1.35,32.4,2.121,3.9823286948204046
2025-12-01 15:16:37,24.0,2.16,51.8,2.128,4.012949945383602
2025-12-01 15:16:39,24.0,2.13,51.1,2.121,4.043055743469133
2025-12-01 15:16:41,24.0,2.16,51.8,2.118,4.0735330572525665
