Timestamp,Voltage (V),Current (A),Power (W),Delta Time (s),Cumulative Energy (Wh)
2025-11-30 17:05:11,24.0,1.65,39.6,0.094,0.001035970687866211
2025-11-30 17:05:13,23.85,1.65,39.3,2.125,0.024234397490819296
2025-11-30 17:05:15,23.69,10.47,248.0,2.118,0.17014474532339308
2025-11-30 17:05:17,23.68,10.47,247.9,2.129,0.3167525756690237
2025-11-30 17:05:20,23.67,10.41,246.4,2.121,0.4619304586052895
2025-11-30 17:05:22,23.68,10.41,246.5,2.121,0.6071629186736213
2025-11-30 17:05:24,23.66,10.38,245.5,2.128,0.7522932334343593
2025-11-30 17:05:26,23.69,10.35,245.1,2.118,0.8964910571773848
2025-11-30 17:05:28,23.67,10.32,244.2,2.122,1.040434035996596
2025-11-30 17:05:30,23.67,10.32,244.2,2.127,1.1847243888179462
2025-11-30 17:05:32,23.67,10.29,243.5,2.119,1.3280490306019783
2025-11-30 17:05:34,23.67,10.26,242.8,2.12,1.47103375358714
2025-11-30 17:05:37,23.65,10.23,241.9,2.132,1.6142980904579163
2025-11-30 17:05:39,23.77,10.23,243.1,2.117,1.757265769481659
2025-11-30 17:05:41,23.99,1.65,39.5,2.117,1.7804943051338196
2025-11-30 17:05:43,23.99,1.65,39.5,2.122,1.803777216580179
2025-11-30 17:05:45,24.0,1.65,39.6,2.127,1.8271771627929476
2025-11-30 17:05:47,24.0,1.68,40.3,2.119,1.8508972719775307
2025-11-30 17:05:49,24.0,1.68,40.3,2.119,1.8746195563673975
2025-11-30 17:05:51,24.0,1.65,39.6,2.132,1.898071236073971
2025-11-30 17:05:54,24.0,1.68,40.3,2.122,1.9218261432051662
2025-11-30 17:05:56,24.0,1.65,39.6,2.133,1.9452846128344539
2025-11-30 17:05:58,24.0,1.68,40.3,2.119,1.9690008626977606
2025-11-30 17:06:00,24.0,1.65,39.6,2.122,1.9923434892694158
2025-11-30 17:06:02,24.0,1.68,40.3,2.132,2.016210564931234
2025-11-30 17:06:04,23.94,1.68,40.2,2.12,2.0398791606823603
